Description:	Naive, three-loop dgemm.

Size: 511	Gflop/s: 1.45
Size: 512	Gflop/s: 0.888
Size: 513	Gflop/s: 1.45
Size: 543	Gflop/s: 1
Size: 544	Gflop/s: 0.858
Size: 545	Gflop/s: 1.01
Size: 575	Gflop/s: 0.759
Size: 576	Gflop/s: 0.876
Size: 577	Gflop/s: 0.756
Size: 607	Gflop/s: 0.764
Size: 608	Gflop/s: 0.853
Size: 609	Gflop/s: 0.761
Size: 639	Gflop/s: 0.752
Size: 640	Gflop/s: 0.875
Size: 641	Gflop/s: 0.752
Size: 671	Gflop/s: 0.747
Size: 672	Gflop/s: 0.844
Size: 673	Gflop/s: 0.747
Size: 703	Gflop/s: 0.721
Size: 704	Gflop/s: 0.834
Size: 705	Gflop/s: 0.719
Size: 735	Gflop/s: 0.563
Size: 736	Gflop/s: 0.705
Size: 737	Gflop/s: 0.546
Size: 767	Gflop/s: 0.426
Size: 768	Gflop/s: 0.463
Size: 769	Gflop/s: 0.419
Size: 799	Gflop/s: 0.376
Size: 800	Gflop/s: 0.608
Size: 801	Gflop/s: 0.368
Size: 831	Gflop/s: 0.348
Size: 832	Gflop/s: 0.552
Size: 833	Gflop/s: 0.342
Size: 863	Gflop/s: 0.328
Size: 864	Gflop/s: 0.563
Size: 865	Gflop/s: 0.323
Size: 895	Gflop/s: 0.315
Size: 896	Gflop/s: 0.39
Size: 897	Gflop/s: 0.311
Size: 927	Gflop/s: 0.301
Size: 928	Gflop/s: 0.531
Size: 929	Gflop/s: 0.299
Size: 959	Gflop/s: 0.292
Size: 960	Gflop/s: 0.491
Size: 961	Gflop/s: 0.29
Size: 991	Gflop/s: 0.285
Size: 992	Gflop/s: 0.512
Size: 993	Gflop/s: 0.246
Size: 1023	Gflop/s: 0.281
Size: 1024	Gflop/s: 0.036
Size: 1025	Gflop/s: 0.28
