Description:	Simple blocked dgemm.

Size: 511	Gflop/s: 1.37
Size: 512	Gflop/s: 0.849
Size: 513	Gflop/s: 1.34
Size: 543	Gflop/s: 1.39
Size: 544	Gflop/s: 1.4
Size: 545	Gflop/s: 1.38
Size: 575	Gflop/s: 1.37
Size: 576	Gflop/s: 1.32
Size: 577	Gflop/s: 1.37
Size: 607	Gflop/s: 1.37
Size: 608	Gflop/s: 1.39
Size: 609	Gflop/s: 1.38
Size: 639	Gflop/s: 1.38
Size: 640	Gflop/s: 0.866
Size: 641	Gflop/s: 1.38
Size: 671	Gflop/s: 1.38
Size: 672	Gflop/s: 1.39
Size: 673	Gflop/s: 1.37
Size: 703	Gflop/s: 1.37
Size: 704	Gflop/s: 1.32
Size: 705	Gflop/s: 1.36
Size: 735	Gflop/s: 1.38
Size: 736	Gflop/s: 1.4
Size: 737	Gflop/s: 1.37
Size: 767	Gflop/s: 1.38
Size: 768	Gflop/s: 0.862
Size: 769	Gflop/s: 1.36
Size: 799	Gflop/s: 1.37
Size: 800	Gflop/s: 1.39
Size: 801	Gflop/s: 1.37
Size: 831	Gflop/s: 1.37
Size: 832	Gflop/s: 1.32
Size: 833	Gflop/s: 1.36
Size: 863	Gflop/s: 1.37
Size: 864	Gflop/s: 1.39
Size: 865	Gflop/s: 1.37
Size: 895	Gflop/s: 1.38
Size: 896	Gflop/s: 0.867
Size: 897	Gflop/s: 1.38
Size: 927	Gflop/s: 1.37
Size: 928	Gflop/s: 1.39
Size: 929	Gflop/s: 1.37
Size: 959	Gflop/s: 1.37
Size: 960	Gflop/s: 1.32
Size: 961	Gflop/s: 1.36
Size: 991	Gflop/s: 1.37
Size: 992	Gflop/s: 1.39
Size: 993	Gflop/s: 1.35
Size: 1023	Gflop/s: 1.35
Size: 1024	Gflop/s: 0.831
Size: 1025	Gflop/s: 1.33
